"product name","sales","profit (SUM)"
"Cubify CubeX 3D Printer Double Head Print",4799.984,359.9988
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",474.43,199.2606
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",482.664,85.176
"Fellowes Binding Cases",121.68,38.025
"Hanging Personal Folder File",94.2,23.55
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",127.95,21.7515
"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",42.93,19.3185
"Staple envelope",28.4,13.348
"Linden 10"" Round Wall Clock, Black",48.896,8.5568
"Avery 498",5.78,2.7166
"Fluorescent Highlighters by Dixon",12.736,2.2288
"Avery 494",6.264,2.0358
"Staple holder",20.808,1.8207
"Wilson Jones Easy Flow II Sheet Lifters",3.6,1.728
"Mediabridge Sport Armband iPhone 5s",23.976,-5.6943
"GBC Instant Report Kit",6.47,-9.705
"Global Wood Trimmed Manager's Task Chair, Khaki",218.352,-19.1058
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",13.748,-22.6842
"Office Star - Contemporary Task Swivel Chair",310.744,-26.6352
"Fellowes Superior 10 Outlet Split Surge Protector",15.224,-38.8212
"SAFCO Boltless Steel Shelving",454.56,-107.958
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",141.42,-187.3815
